Amazon Echo,1581620286.413907,-39.0
Nest Camera,1581620286.426989,-41.0
Nest Camera,1581620286.442929,-44.0
WeMo Smart Plug,1581620286.475619,-36.0
Amazon Echo,1581620286.49741,-38.0
Nest Camera,1581620286.498167,-41.0
Nest Camera,1581620286.507063,-44.0
Nest Camera,1581620286.545683,-41.0
Nest Camera,1581620286.547844,-44.0
Amazon Echo,1581620286.559313,-37.0
Amazon Echo,1581620286.559316,-37.0
Amazon Echo,1581620286.572816,-37.0
Nest Camera,1581620286.583102,-41.0
Nest Camera,1581620286.598049,-43.0
Nest Camera,1581620286.598468,-42.0
Nest Camera,1581620286.635919,-39.0
Amazon Echo,1581620286.639392,-37.0
Nest Camera,1581620286.639762,-41.0
Amazon Echo,1581620286.652947,-37.0
Nest Camera,1581620286.678984,-45.0
Nest Camera,1581620286.684234,-48.0
Amazon Echo,1581620286.71965,-37.0
Nest Camera,1581620286.719676,-38.0
Amazon Echo,1581620286.733615,-37.0
Nest Camera,1581620286.776486,-38.0
Nest Camera,1581620286.79075,-42.0
Amazon Echo,1581620286.815285,-38.0
Nest Camera,1581620286.826092,-38.0
Nest Camera,1581620286.830637,-42.0
Nest Camera,1581620286.831543,-41.0
Amazon Echo,1581620286.845785,-40.0
Nest Camera,1581620286.872027,-38.0
Amazon Echo,1581620286.873684,-39.0
Amazon Echo,1581620286.887515,-39.0
Nest Camera,1581620286.892467,-42.0
Nest Camera,1581620286.928785,-38.0
Nest Camera,1581620286.934913,-42.0
Nest Camera,1581620286.936446,-42.0
Nest Camera,1581620286.937204,-42.0
Nest Camera,1581620286.939461,-42.0
Amazon Echo,1581620286.954514,-38.0
Vizio SmartTV,1581620286.967692,-54.0
Vizio SmartTV,1581620286.967697,-54.0
Amazon Echo,1581620286.967856,-38.0
Vizio SmartTV,1581620286.968003,-53.0
Nest Camera,1581620286.977541,-38.0
Nest Camera,1581620286.996449,-42.0
Vizio SmartTV,1581620287.000022,-53.0
Amazon Echo,1581620287.033813,-38.0
Nest Camera,1581620287.037525,-38.0
Amazon Echo,1581620287.048179,-38.0
Nest Camera,1581620287.063802,-42.0
Nest Camera,1581620287.103453,-38.0
Nest Camera,1581620287.105408,-42.0
Nest Camera,1581620287.106738,-38.0
Nest Camera,1581620287.107582,-38.0
Nest Camera,1581620287.10952,-42.0
Nest Camera,1581620287.109776,-41.0
Nest Camera,1581620287.110174,-40.0
Amazon Echo,1581620287.113732,-39.0
Amazon Echo,1581620287.127418,-39.0
Amazon Echo,1581620287.127422,-39.0
Amazon Echo,1581620287.127424,-39.0
Amazon Echo,1581620287.127425,-39.0
Nest Camera,1581620287.185719,-38.0
Nest Camera,1581620287.207093,-40.0
Amazon Echo,1581620287.210978,-40.0
Amazon Echo,1581620287.210985,-40.0
Amazon Echo,1581620287.210987,-40.0
